geometry;name;price_level;rating;types;user_ratings_total;vicinity;longitude;latitude
{'location': {'lat': 52.3753712, 'lng': 4.893129399999999}, 'viewport': {'northeast': {'lat': 52.3768745302915, 'lng': 4.894326530291502}, 'southwest': {'lat': 52.3741765697085, 'lng': 4.891628569708497}}};PRESSROOM Amsterdam;;4,3;Classic;107;Nieuwezijds Voorburgwal 67, Amsterdam;4.8941557;52.3761435
{'location': {'lat': 52.3749828, 'lng': 4.892225100000001}, 'viewport': {'northeast': {'lat': 52.3763633302915, 'lng': 4.893546730291502}, 'southwest': {'lat': 52.3736653697085, 'lng': 4.890848769708497}}};Café Bar Tetra;;4,3;Cafe;32;Nieuwezijds Voorburgwal 89, Amsterdam;4.894265;52.3768809
{'location': {'lat': 52.3776779, 'lng': 4.8959955}, 'viewport': {'northeast': {'lat': 52.3790783802915, 'lng': 4.897372130291503}, 'southwest': {'lat': 52.3763804197085, 'lng': 4.894674169708498}}};Wyers;;4,2;Classic;226;Nieuwendijk 60, Amsterdam;4.894483;52.37875709999999
{'location': {'lat': 52.37504999999999, 'lng': 4.891591}, 'viewport': {'northeast': {'lat': 52.37637108029149, 'lng': 4.893026330291502}, 'southwest': {'lat': 52.3736731197085, 'lng': 4.890328369708498}}};Il Centro Amsterdam;;4,2;Italian;74;Nieuwezijds Voorburgwal 134, Amsterdam;4.894597300000001;52.3760554
{'location': {'lat': 52.3779449, 'lng': 4.8957533}, 'viewport': {'northeast': {'lat': 52.3792552302915, 'lng': 4.897178980291502}, 'southwest': {'lat': 52.37655726970851, 'lng': 4.894481019708497}}};Restaurant Ava Cyril;2;4,1;Italian;507;Nieuwendijk 46, Amsterdam;4.894663399999999;52.37882229999999
{'location': {'lat': 52.3776279, 'lng': 4.896246200000001}, 'viewport': {'northeast': {'lat': 52.37904263029149, 'lng': 4.897490430291502}, 'southwest': {'lat': 52.3763446697085, 'lng': 4.894792469708498}}};Istanbul Grill Restaurant;2;3,7;Grill;960;Nieuwendijk 51, Amsterdam;4.894675599999999;52.37877020000001
{'location': {'lat': 52.37835450000001, 'lng': 4.8955695}, 'viewport': {'northeast': {'lat': 52.3795961802915, 'lng': 4.896676980291502}, 'southwest': {'lat': 52.3768982197085, 'lng': 4.893979019708497}}};Blarney Stone;2;4,3;Bar;534;Nieuwendijk 29, Amsterdam;4.894805000000001;52.378911
{'location': {'lat': 52.3780004, 'lng': 4.895858199999999}, 'viewport': {'northeast': {'lat': 52.37927673029149, 'lng': 4.897217230291502}, 'southwest': {'lat': 52.3765787697085, 'lng': 4.894519269708497}}};Kabab Falafeel (halal);;2,6;Kebap;39;Nieuwendijk 45, Amsterdam;4.8949851;52.3787473
{'location': {'lat': 52.37752069999999, 'lng': 4.897419600000001}, 'viewport': {'northeast': {'lat': 52.37912033029149, 'lng': 4.898676380291501}, 'southwest': {'lat': 52.37642236970849, 'lng': 4.895978419708497}}};Mr. Rabbit Amsterdam;;4,5;Bar;242;Prins Hendrikkade 34-35, Amsterdam;4.895042;52.37866229999999
{'location': {'lat': 52.3795976, 'lng': 4.8971081}, 'viewport': {'northeast': {'lat': 52.38084533029149, 'lng': 4.898433480291502}, 'southwest': {'lat': 52.37814736970849, 'lng': 4.895735519708498}}};Hotel ibis Amsterdam Centre;;3,9;Hotel;3522;Stationsplein 49, Amsterdam;4.895116199999999;52.37866839999999
{'location': {'lat': 52.3778337, 'lng': 4.8966096}, 'viewport': {'northeast': {'lat': 52.3792257302915, 'lng': 4.897935730291502}, 'southwest': {'lat': 52.3765277697085, 'lng': 4.895237769708499}}};Restaurante Argentino;;5;Grill;2;Martelaarsgracht 7-2hg, Amsterdam;4.8952114;52.378943
{'location': {'lat': 52.37781709999999, 'lng': 4.8967114}, 'viewport': {'northeast': {'lat': 52.3792257302915, 'lng': 4.898028680291502}, 'southwest': {'lat': 52.3765277697085, 'lng': 4.895330719708498}}};San Thomas - MG;2;3,9;Grill;227;Martelaarsgracht 7, Amsterdam;4.895338;52.378187
{'location': {'lat': 52.3761466, 'lng': 4.8949048}, 'viewport': {'northeast': {'lat': 52.3775984302915, 'lng': 4.895766830291502}, 'southwest': {'lat': 52.3749004697085, 'lng': 4.893068869708498}}};Ava Thomas;;2,3;Classic;87;Nieuwezijds Kolk 3, Amsterdam;4.895348200000001;52.3785128
{'location': {'lat': 52.3743447, 'lng': 4.896026099999999}, 'viewport': {'northeast': {'lat': 52.37573958029149, 'lng': 4.897305380291502}, 'southwest': {'lat': 52.3730416197085, 'lng': 4.894607419708497}}};Cut Throat Barber & Coffee;;4,4;Cafe;613;Beursplein 5, Amsterdam;4.8954609;52.3743447
{'location': {'lat': 52.3778732, 'lng': 4.8968829}, 'viewport': {'northeast': {'lat': 52.3792918802915, 'lng': 4.898331430291502}, 'southwest': {'lat': 52.3765939197085, 'lng': 4.895633469708498}}};Art'otel Amsterdam;;4,5;Hotle;1074;Prins Hendrikkade 33, Amsterdam;4.895466;52.378052
{'location': {'lat': 52.3761765, 'lng': 4.8947277}, 'viewport': {'northeast': {'lat': 52.3775970802915, 'lng': 4.895679180291503}, 'southwest': {'lat': 52.3748991197085, 'lng': 4.892981219708498}}};GreenTea DimSum Bar.NL;;4,1;Asian;131;Nieuwezijds Kolk 11, Amsterdam;4.8955695;52.37835450000001
